Age_range,Gender,Languages,Country,Nationality,Education,Major,Occupation,Devices,Internet_familiarity,Internet_quality,Desktop_familiarity,Laptop_familiarity,Phone_familiarity,Feature_phone_familiarity,Tablet_familiarity,Smartwatch_familiarity
Generation Z: Born 1997-2012,Female,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,,5.0,5.0,,2.0,3.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,,1.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,General Science ,Unemployed,Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,2.0,1.0,2.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,BSc in Software Engineering,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,,5.0,5.0,,,3.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering,Software Engineer,Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,,3.0,3.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,CSE,IT Professional,Android / iPhone / Touchscreen phone,5.0,4.0,,5.0,5.0,3.0,3.0,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer science,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,,5.0,5.0,,3.0,
Millennials: Born 1981-1996,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Bsc in Computer Science adn Engineering,IT Professional,Android / iPhone / Touchscreen phone,5.0,4.0,3.0,5.0,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,CSE,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi;Japanese,Bangladesh,Bangladeshi,University/Higher Degree,CSE,IT Professional,Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,5.0,,3.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science ,Teacher,Laptop / Macbook;Android / iPhone / Touchscreen phone,4.0,3.0,,,,2.0,2.0,2.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Student;Graduate Research Assistant ,Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science ,IT Professional,Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
Millennials: Born 1981-1996,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Business Administration ,Private officer,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,1.0,1.0,1.0,3.0,,
